scope,tag,case,method,precision,kappa,cap,attempts_1,attempts_2,attempts_per_return,block,block_order,cap_rejects,cap_rejects_per_return,engine_calls,engine_calls_1,engine_calls_2,engine_calls_per_return,gamma_variates,gamma_variates_per_return,iqr_ratio,iqr_seconds_per_attempt,iqr_seconds_per_return,log_primitive,median_seconds_per_attempt,median_seconds_per_return,median_time_per_return_ratio,n_attempted,n_blocks,n_finite,n_returned,ratio_ci_hi,ratio_ci_lo,repeat_identical,seconds,seconds_per_attempt,seconds_per_return,total_attempts,total_returned,uniform_variates,uniform_variates_per_return
summary,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,15.910276766158466,NA,2.0,NA,3.152545181856881e-10,3.152545181856881e-10,LOG-PUB,1.0067070401076664e-07,1.0067070401076664e-07,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,225065450,225065450,NA,2.0
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.652764669772925,0,1,19711905,NA,317693764,NA,NA,NA,20451487,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20451487,NA,739582,739582,NA,NA,NA,2.32056621,1.1346686967065035e-07,3.1376726448182892e-06,NA,NA,82194286,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.60125314028735,1,0,19673808,NA,317136000,NA,NA,NA,20413390,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20413390,NA,739582,739582,NA,NA,NA,2.28117371,1.1174889178132588e-07,3.0844094502029523e-06,NA,NA,82039440,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.610774734917833,2,1,19680850,NA,317213084,NA,NA,NA,20420432,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20420432,NA,739582,739582,NA,NA,NA,2.28002167,1.1165393905476632e-07,3.0828517595073975e-06,NA,NA,82067244,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.618581847584174,3,0,19686624,NA,317358092,NA,NA,NA,20426206,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20426206,NA,739582,739582,NA,NA,NA,2.31076071,1.1312725965849947e-07,3.124414480071175e-06,NA,NA,82091174,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.622735545213377,4,1,19689696,NA,317354176,NA,NA,NA,20429278,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20429278,NA,739582,739582,NA,NA,NA,2.27596258,1.1140690238783769e-07,3.077363402570641e-06,NA,NA,82104464,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.66520818516405,5,0,19721108,NA,317851864,NA,NA,NA,20460690,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20460690,NA,739582,739582,NA,NA,NA,2.28593192,1.1172311002219377e-07,3.0908430978579792e-06,NA,NA,82230784,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.651093455492425,6,1,19710669,NA,317739272,NA,NA,NA,20450251,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20450251,NA,739582,739582,NA,NA,NA,2.29803008,1.1237172981397638e-07,3.1072012028416056e-06,NA,NA,82187330,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.584321954833946,7,0,19661286,NA,316946592,NA,NA,NA,20400868,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20400868,NA,739582,739582,NA,NA,NA,2.28538562,1.1202394035391043e-07,3.09010443737138e-06,NA,NA,81988856,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.63916780018984,8,1,19701849,NA,317564320,NA,NA,NA,20441431,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20441431,NA,739582,739582,NA,NA,NA,2.30454846,1.1273909639692054e-07,3.1160148029562642e-06,NA,NA,82151766,NA
block,libcxx,B3,LOG,double,0.51,5,NA,NA,27.61451468532225,9,0,19683616,NA,317250536,NA,NA,NA,20423198,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,20423198,NA,739582,739582,NA,NA,NA,2.28388425,1.1182794437971956e-07,3.0880744123031654e-06,NA,NA,82079580,NA
summary,libcxx,B3,LOG,double,0.51,5,NA,NA,NA,NA,NA,NA,26.626041601877816,NA,NA,NA,429.17589935936786,NA,27.626041601877816,NA,9.176992892077022e-10,2.848571219959407e-08,LOG-PUB,1.11925942366815e-07,3.0904737676146797e-06,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,204317231,7395820,NA,111.026894110457
block,libcxx,B3,SPLIT,double,0.51,5,NA,NA,27.602327549296913,0,0,23672427,NA,381181432,NA,NA,NA,49124580,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,24562290,NA,889863,889863,NA,NA,NA,2.30461833,9.382750264735088e-08,2.589857461204702e-06,NA,NA,49124580,NA
block,libcxx,B3,SPLIT,double,0.51,5,NA,NA,27.574913216978345,1,1,23648032,NA,380835284,NA,NA,NA,49075790,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,24537895,NA,889863,889863,NA,NA,NA,2.2925325,9.342824639195824e-08,2.5762757862727186e-06,NA,NA,49075790,NA
