method,precision,tag,kappa,shape_a,transform,null_cdf,ecdf_residual,null_cdf_z_orientation,ecdf_residual_z_orientation,band_lo,band_hi,n,resolved_fraction
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3785346031242184,-0.0006079364575516943,0.3785346031242184,-0.0006079364575516943,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3819642204938922,-0.0006925538272255505,0.3819642204938922,-0.0006925538272255505,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.38542514813918194,-0.0008101481391819543,0.38542514813918194,-0.0008101481391819543,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3885608801752901,-0.0006008801752900861,0.3885608801752901,-0.0006008801752900861,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3920509474443351,-0.0007459474443350933,0.3920509474443351,-0.0007459474443350933,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.39535369735694986,-0.0007053640236165393,0.39535369735694986,-0.0007053640236165393,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3987138328808253,-0.0007204995474919818,0.3987138328808253,-0.0007204995474919818,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4020541017031336,-0.0007157683698002515,0.4020541017031336,-0.0007157683698002515,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4054176664945362,-0.0007359998278695379,0.4054176664945362,-0.0007359998278695379,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.40860435969465325,-0.0005776930279866033,0.40860435969465325,-0.0005776930279866033,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.41187973796833677,-0.0005080713016700766,0.41187973796833677,-0.0005080713016700766,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.41522136212223926,-0.0005046954555725791,0.41522136212223926,-0.0005046954555725791,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4185264787630413,-0.0004664787630412892,0.4185264787630413,-0.0004664787630412892,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4218281355176415,-0.00042313551764150414,0.4218281355176415,-0.00042313551764150414,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4251536721106586,-0.00040367211065855946,0.4251536721106586,-0.00040367211065855946,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.42850624719865615,-0.00041291386532282814,0.42850624719865615,-0.00041291386532282814,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4318638970968026,-0.00042556376346930547,0.4318638970968026,-0.00042556376346930547,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.43522126562102903,-0.0004379322876956748,0.43522126562102903,-0.0004379322876956748,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4385930080802407,-0.00046634141357404513,0.4385930080802407,-0.00046634141357404513,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.44211013905892527,-0.0006384723922586155,0.44211013905892527,-0.0006384723922586155,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.44546788699158235,-0.0006512203249156578,0.44546788699158235,-0.0006512203249156578,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.44888487426592927,-0.0007248742659292651,0.44888487426592927,-0.0007248742659292651,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4522177563676061,-0.0007127563676060933,0.4522177563676061,-0.0007127563676060933,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4556288456761478,-0.0007788456761478324,0.4556288456761478,-0.0007788456761478324,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4589257177253765,-0.0007323843920431505,0.4589257177253765,-0.0007323843920431505,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4623058056121848,-0.0007674722788514887,0.4623058056121848,-0.0007674722788514887,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.46570837147129185,-0.0008250381379585336,0.46570837147129185,-0.0008250381379585336,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.46903899996284676,-0.0008123332961800789,0.46903899996284676,-0.0008123332961800789,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.4723679629304539,-0.0007962962637872439,0.4723679629304539,-0.0007962962637872439,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.47578645052433544,-0.0008697838576687822,0.47578645052433544,-0.0008697838576687822,-0.002101253071889096,0.002101253071889096,600000,1.0
