tag,precision,kappa,shape_a,method,bin_kind,bin_hi,bin_lo,n_in_bin,n_success,success_rate,ci_lo,ci_hi,is_upper_bound,merged,n_seeds,n_total
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,1e-05,0.0,61,56,0.9180327868852459,0.8189880888902016,0.972848639604444,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,1e-05,0.0,61,0,0.0,0.0,0.04792395210660727,true,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,5.568942035514862,-3.1845666217111663,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,5.568942035514862,-3.1845666217111663,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,11.457841599355879,5.568942035514862,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,11.457841599355879,5.568942035514862,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,18.132964162013657,11.457841599355879,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,18.132964162013657,11.457841599355879,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,25.84077068219057,18.132964162013657,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,25.84077068219057,18.132964162013657,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,34.95534897585607,25.84077068219057,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,34.95534897585607,25.84077068219057,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,46.11018473666222,34.95534897585607,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,46.11018473666222,34.95534897585607,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,60.482825005343265,46.11018473666222,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,60.482825005343265,46.11018473666222,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,80.74016688794701,60.482825005343265,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,80.74016688794701,60.482825005343265,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,115.41671598770247,80.74016688794701,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,115.41671598770247,80.74016688794701,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
