tag,precision,kappa,shape_a,method,p,n_attempted,n_success,target_log_r_quantile,rho_attempt,rho_attempt_lo,rho_attempt_hi,rho_cond,rho_cond_lo,rho_cond_hi,conditional_log_r_quantile,conditional_log_r_quantile_lo,conditional_log_r_quantile_hi,conditional_log_r_quantile_error,quantile_resolved,unconditional_failure_probability,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,bootstrap_resamples,interval_conf,n_seeds
libstdcxx,double,0.51,0.010000000000000009,LOG,0.999,5000000,4999995,345.692854461474,0.9679999999999992,0.9317999999999992,1.004600999999999,0.9680009680009671,0.9318009318009309,1.0046020046020034,344.1561769965405,342.7889807887335,345.8366158338436,-1.5366774649334616,true,1e-06,3.246973551884662e-07,2.3336648596986128e-06,false,10000,0.99,5
libstdcxx,double,0.51,0.010000000000000009,LOG,0.9999,5000000,4999995,460.82210911118176,0.8660000000000955,0.7600000000000837,0.9740100000001056,0.8660008660009614,0.7600007600008437,0.9740109740110796,453.78213876047033,450.1494042930664,459.14310641831526,-7.039970350711428,true,1e-06,3.246973551884662e-07,2.3336648596986128e-06,false,10000,0.99,5
libstdcxx,double,0.75,0.25,SPLIT,0.99,5000000,5000000,9.479646273964422,1.004659999999999,0.9929598999999992,1.015980399999999,1.004659999999999,0.9929598999999992,1.015980399999999,9.488363462010803,9.467548333366876,9.510048517821705,0.008717188046380997,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,double,0.75,0.25,SPLIT,0.999,5000000,5000000,14.08481646403701,0.978399999999999,0.9429999999999992,1.0139999999999991,0.978399999999999,0.9429999999999992,1.0139999999999991,14.047337923606884,13.976053743790429,14.107643916375372,-0.03747854043012566,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,double,0.75,0.25,SPLIT,0.9999,5000000,5000000,18.689986650025734,0.9460000000001041,0.8360000000000921,1.0600000000001168,0.9460000000001041,0.8360000000000921,1.0600000000001168,18.574982791766768,18.373057347265558,18.77496489807331,-0.11500385825896586,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,double,0.75,0.25,LOG,0.99,5000000,5000000,9.479646273964422,1.004659999999999,0.9929598999999992,1.015980399999999,1.004659999999999,0.9929598999999992,1.015980399999999,9.488363462010803,9.467548333366876,9.510048517821705,0.008717188046380997,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,double,0.75,0.25,LOG,0.999,5000000,5000000,14.08481646403701,0.978399999999999,0.9429999999999992,1.0139999999999991,0.978399999999999,0.9429999999999992,1.0139999999999991,14.047337923606884,13.976053743790429,14.107643916375372,-0.03747854043012566,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,double,0.75,0.25,LOG,0.9999,5000000,5000000,18.689986650025734,0.9460000000001041,0.8360000000000921,1.0600000000001168,0.9460000000001041,0.8360000000000921,1.0600000000001168,18.574982791766768,18.373057347265558,18.77496489807331,-0.11500385825896586,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,float,0.55,0.050000011920928955,SPLIT,0.99,5000000,4971241,46.34998253326348,0.42905999999999966,0.4216399999999997,0.43636029999999953,0.4315421441044596,0.42417979735844596,0.43916599496986725,41.85998784506249,41.7929615752259,41.927737695274665,-4.489994688200987,true,0.0057518,0.00568570176105036,0.005818471585773705,false,10000,0.99,5
libstdcxx,float,0.55,0.050000011920928955,SPLIT,0.999,5000000,4971241,69.37582797341457,0.0,0.0,0.0,0.0,0.0,0.0,50.32624436180105,50.272087971602865,50.371091631045886,-19.04958361161352,true,0.0057518,0.00568570176105036,0.005818471585773705,false,10000,0.99,5
libstdcxx,float,0.55,0.050000011920928955,SPLIT,0.9999,5000000,4971241,92.4016734135668,0.0,0.0,0.0,0.0,0.0,0.0,51.9954818702557,51.96089491655745,52.031803322049726,-40.406191543311095,true,0.0057518,0.00568570176105036,0.005818471585773705,false,10000,0.99,5
